word1	word2	SimLex999	POS	compound_count
snel	razendsnel	7.18	A	1
vreemd	eigenaardig	7.41	A	1
krankzinnig	gek	8.02	A	1
uitgebreid	groot	5.58	A	1
eigenaardig	vreemd	8.56	A	1
leuk	grootmoedig	2.06	A	1
zelfverzekerd	zeker	7.49	A	1
dom	onderontwikkeld	4.56	A	1
onnodig	noodzakelijk	1.71	A	1
essentieel	noodzakelijk	8.55	A	1
kinderachtig	dwaas	3.41	A	1
opvallend	duidelijk	6.18	A	1
gewelddadig	boos	3.48	A	1
vuil	goedkoop	1.44	A	1
bruidegom	bruid	5.95	N	1
wereld	wereldbol	4.46	N	1
vliegtuig	straalvliegtuig	7.33	N	1
film	filmrol	3.92	N	1
woord	woordenboek	2.48	N	1
bed	slaapkamer	2.52	N	1
politieagent	sheriff	4.8	N	1
overwinning	zege	7.93	N	1
deur	ingang	6.43	N	1
muziekgroep	orkest	8.04	N	1
auto	snelweg	3.12	N	1
woordenboek	definitie	2.42	N	1
maaltijd	diner	6.75	N	1
motor	aandrijving	5.24	N	1
kat	huisdier	4.13	N	1
uitbundigheid	overvloed	4.44	N	1
muur	baksteen	3.38	N	1
muziekgroep	parade	3.9	N	1
pijpleiding	kabel	1.55	N	1
bed	ziekenhuis	3.24	N	1
orthodontist	tandarts	6.23	N	1
arbeider	werkgever	2.81	N	1
ongeval	noodgeval	5.8	N	1
eikenboom	esdoorn	4.8	N	1
vee	rundvlees	3.59	N	1
onderneming	bedrijf	7.95	N	1
plezier	voetbal	1.86	N	1
helper	huishulp	5.37	N	1
machine	aandrijving	3.02	N	1
gitaar	drumstel	2.45	N	1
wetenschap	psychologie	3.16	N	1
uithoudingsvermogen	kracht	5.13	N	1
mannen	broederschap	2.74	N	1
tegenstander	rivaal	7.56	N	1
boter	aardappel	1.04	N	1
bal	handschoen	1.84	N	1
houding	zelfvertrouwen	3.49	N	1
argument	overeenkomst	1.5	N	1
zonsondergang	avond	5.22	N	1
motregen	regen	5.91	N	1
houtskool	kool	4.24	N	1
lichaam	ruggengraat	1.62	N	1
boomstam	hout	3.72	N	1
man	echtgenoot	5.51	N	1
badkamer	keuken	2.97	N	1
zelfvertrouwen	zelf	2.1	N	1
tijdperk	decennium	5.92	N	1
luchtvaart	vlucht	3.57	N	1
artikel	tijdschrift	3.16	N	1
ontbijt	avondeten	2.34	N	1
kamer	gevangeniscel	2.77	N	1
ledemaat	been	4.74	N	1
klaslokaal	gang	2.52	N	1
verjaardag	jaar	4.39	N	1
aartsbisschop	bisschop	6.76	N	1
kerktoren	kapel	4.07	N	1
buik	onderbuik	5.32	N	1
hals	ruggengraat	2.86	N	1
meisje	dienstmeisje	1.93	N	1
aandacht	bewustzijn	5.36	N	1
schoonheid	leeftijd	1.31	N	1
hoofdstuk	keuze	1.44	N	1
volkslied	verovering	1.36	N	1
broederschap	deur	1.85	N	1
taak	snelweg	0.94	N	1
nacht	hoofdstuk	1.2	N	1
hoofdstuk	staart	2.09	N	1
volkslied	rietje	0.87	N	1
tandarts	kolonel	0.7	N	1
echtgenote	rietje	1.4	N	1
appel	zonneschijn	1.69	N	1
maaltijd	staart	0.49	N	1
likeur	muziekgroep	0.85	N	1
bank	honkbal	1.7	N	1
buik	slaapkamer	0.77	N	1
fiets	slaapkamer	0.83	N	1
boomstam	bad	0.96	N	1
gaan	toestaan	1.33	V	1
voorbijgaan	verdwijnen	4.51	V	1
vermenigvuldigen	delen	3.63	V	1
bereiken	volbrengen	6.14	V	1
maken	opbouwen	7.65	V	1
adviseren	aanbevelen	7.26	V	1
imiteren	uitbeelden	5.75	V	1
rondzwerven	dwalen	7.83	V	1
vermenigvuldigen	toevoegen	3.67	V	1
vertrekken	achterblijven	1.95	V	1
doden	ophangen	4.34	V	1
creëren	voorstellen	2.43	V	1
verschijnen	bijwonen	3.78	V	1
tevredenstellen	voldoen	5.49	V	1
overwinnen	domineren	3.93	V	1
zeggen	deelnemen	2.67	V	1
nemen	achterlaten	2.01	V	1
verkondigen	aankondigen	6.43	V	1
tevredenstellen	pleiten	1.56	V	1
vermoeden	voorspellen	5.11	V	1
krijgen	achterblijven	1.41	V	1
onderzoeken	herzien	3.24	V	1
terugtrekken	afwijzen	4.41	V	1
overnadenken	denken	6.74	V	1
bepalen	voorspellen	2.69	V	1
tevredenstellen	vermaken	3.58	V	1
vergeten	onderhouden	1.09	V	1
samenvoegen	toevoegen	3.43	V	1
samenvoegen	trouwen	2.74	V	1
plaatsen	ophangen	3.91	V	1
gaan	binnenkomen	2.11	V	1
toevoegen	bouwen	2.42	V	1
begrijpen	voldoen	2.38	V	1
onderzoeken	streven	1.81	V	1
opnemen	bezitten	1.57	V	1
samenvoegen	verwerven	3.89	V	1
sturen	bijwonen	1.85	V	1
verzamelen	bijwonen	1.06	V	1
