word1	word2	SimLex999	POS	compound_count
oud	nieuw	1.94	A	0
slim	intelligent	8.19	A	0
hard	moeilijk	4.46	A	0
gelukkig	vrolijk	6.49	A	0
hard	stoer	5.69	A	0
gelukkig	blij	7.09	A	0
kort	lang	1.78	A	0
dom	stom	4.67	A	0
breed	smal	1.79	A	0
slecht	vreselijk	5.91	A	0
makkelijk	moeilijk	2.17	A	0
slecht	vreselijk	7.53	A	0
moeilijk	gemakkelijk	1.92	A	0
slim	dom	2.72	A	0
gelukkig	kwaad	2.95	A	0
moeilijk	simpel	2.24	A	0
nieuw	vers	6.69	A	0
scherp	saai	0.95	A	0
vlug	snel	8.95	A	0
dom	dwaas	6.57	A	0
prachtig	fantastisch	6.3	A	0
gelukkig	boos	0.98	A	0
smal	breed	3.59	A	0
eenvoudig	gemakkelijk	9.04	A	0
oud	vers	1.69	A	0
kennelijk	duidelijk	4.04	A	0
raar	vreemd	8.4	A	0
vreemd	normaal	1.81	A	0
slecht	immoreel	6.44	A	0
verdrietig	grappig	1.68	A	0
prachtig	geweldig	6.85	A	0
schuldig	beschaamd	3.54	A	0
mooi	prachtig	7.24	A	0
groot	flexibel	1.63	A	0
aardig	wreed	1.28	A	0
ongeduldig	nerveus	4.22	A	0
groot	breed	4.4	A	0
sterk	trots	4.09	A	0
onrustig	jong	1.37	A	0
dom	intelligent	2.62	A	0
slecht	geweldig	1.75	A	0
moeilijk	eenvoudig	2.25	A	0
slecht	verschrikkelijk	6.93	A	0
boos	blij	2.16	A	0
eerlijk	schuldig	1.18	A	0
makkelijk	zwaar	2.17	A	0
makkelijk	flexibel	5.85	A	0
stellig	zeker	5.41	A	0
anders	normaal	1.16	A	0
sluw	slim	4.08	A	0
cruciaal	belangrijk	8.59	A	0
hard	wreed	7.02	A	0
zelden	zeldzaam	6.09	A	0
vriendelijk	vrijgevig	4.57	A	0
breekbaar	kil	1.35	A	0
lang	smal	3.08	A	0
groot	zwaar	5.2	A	0
ruw	koel	1.39	A	0
bizar	vreemd	8.11	A	0
illegaal	immoreel	3.39	A	0
slecht	schuldig	3.77	A	0
modern	oud	1.15	A	0
nieuw	oud	2.18	A	0
saai	grappig	1.91	A	0
gelukkig	jong	1.78	A	0
makkelijk	groot	0.96	A	0
geweldig	vreselijk	2.0	A	0
klein	enorm	1.82	A	0
beleefd	gepast	6.28	A	0
bescheiden	beschaamd	3.87	A	0
exotisch	zeldzaam	5.1	A	0
dom	slim	2.95	A	0
heerlijk	prachtig	4.76	A	0
angstig	bang	9.06	A	0
formeel	juist	2.5	A	0
somber	saai	3.94	A	0
heerlijk	vrolijk	3.03	A	0
ongelukkig	kwaad	3.1	A	0
verdrietig	vreselijk	5.15	A	0
ziek	gek	2.3	A	0
beladen	zwaar	7.33	A	0
elastisch	flexibel	7.32	A	0
hard	dicht	1.33	A	0
onlangs	nieuw	3.45	A	0
brutaal	trots	1.67	A	0
sluw	vreemd	2.99	A	0
vreemd	sluw	2.32	A	0
dom	zeldzaam	1.2	A	0
sluw	koppig	1.54	A	0
fantastisch	kwaad	0.95	A	0
bescheiden	flexibel	1.42	A	0
vers	breed	1.29	A	0
enorm	sprakeloos	0.99	A	0
groot	enorm	7.53	A	0
vuil	smal	1.68	A	0
boek	tekst	5.78	N	0
nacht	dag	4.55	N	0
zuid	noord	2.93	N	0
oom	tante	4.11	N	0
paard	merrie	7.07	N	0
onderkant	bovenkant	3.5	N	0
vriend	maat	7.25	N	0
student	leerling	7.77	N	0
been	arm	2.75	N	0
vrouw	man	5.08	N	0
paard	veulen	5.75	N	0
actrice	acteur	8.33	N	0
leraar	instructeur	7.67	N	0
vogel	havik	4.52	N	0
geld	salaris	6.29	N	0
hond	kat	3.26	N	0
gebied	regio	8.46	N	0
marine	leger	6.68	N	0
boek	literatuur	6.74	N	0
kleding	kast	3.2	N	0
zonsondergang	zonsopgang	3.67	N	0
kind	volwassen	3.1	N	0
koe	vee	6.72	N	0
boek	verhaal	5.15	N	0
winter	zomer	4.16	N	0
taxi	taxi's	8.17	N	0
boom	esdoorn	4.05	N	0
dak	plafond	6.25	N	0
ziekte	infectie	6.07	N	0
arm	schouder	4.76	N	0
schaap	lam	4.94	N	0
dame	meneer	2.55	N	0
boot	anker	1.98	N	0
priester	monnik	3.98	N	0
teen	vinger	3.25	N	0
rivier	stroom	5.33	N	0
boosheid	woede	8.87	N	0
datum	kalender	4.26	N	0
zee	oceaan	7.11	N	0
seconde	minuut	3.83	N	0
hand	duim	2.81	N	0
hout	stam	2.84	N	0
modder	vuil	5.25	N	0
hal	gang	7.99	N	0
weg	manier	3.87	N	0
muis	kat	2.35	N	0
dood	begrafenis	3.67	N	0
muziek	melodie	5.26	N	0
bier	alcohol	5.08	N	0
mond	lip	5.79	N	0
storm	orkaan	7.09	N	0
belasting	inkomen	2.93	N	0
bloem	viooltjes	6.12	N	0
papier	karton	4.51	N	0
vloer	plafond	1.93	N	0
strand	kust	7.2	N	0
staaf	gordijn	2.11	N	0
jachthond	vos	2.99	N	0
straat	auto	0.89	N	0
boot	dek	3.27	N	0
auto	toeter	1.83	N	0
vriend	gast	2.89	N	0
hand	pols	2.55	N	0
bal	kostuum	2.64	N	0
alcohol	brandewijn	3.75	N	0
telefoon	cel	2.21	N	0
motel	herberg	6.85	N	0
kleding	stof	4.88	N	0
steak	vlees	6.13	N	0
nagel	duim	4.46	N	0
boek	bijbel	4.72	N	0
bedrijf	industrie	4.18	N	0
winter	seizoen	5.08	N	0
decennium	eeuw	2.55	N	0
alcohol	jenever	4.57	N	0
hoed	jas	1.54	N	0
raam	deur	3.31	N	0
arm	pols	3.64	N	0
huis	appartement	6.3	N	0
glas	kristal	6.08	N	0
wijn	brandewijn	3.29	N	0
maker	producent	7.82	N	0
diner	ontbijt	2.5	N	0
arm	spier	2.86	N	0
bubbel	schuim	4.14	N	0
brood	meel	4.62	N	0
dood	tragedie	5.43	N	0
afwezigheid	aanwezigheid	2.54	N	0
pistool	kanon	4.19	N	0
gras	stro	3.93	N	0
bal	mand	1.81	N	0
slang	tuin	1.54	N	0
jongen	kind	3.78	N	0
kerk	koor	1.89	N	0
kleding	lade	1.82	N	0
toren	bel	1.96	N	0
vader	ouder	6.89	N	0
school	cijfer	3.76	N	0
ouder	volwassene	5.33	N	0
balk	gevangenis	1.42	N	0
deur	kelder	1.29	N	0
leger	legioen	6.66	N	0
metaal	aluminium	4.56	N	0
stoel	bank	2.67	N	0
wolk	mist	6.5	N	0
jongen	zoon	6.1	N	0
water	ijs	3.37	N	0
bed	deken	3.27	N	0
gebied	zone	8.42	N	0
bedrijf	onderneming	8.72	N	0
kleding	textiel	4.69	N	0
trui	jas	4.26	N	0
geld	vermogen	6.36	N	0
hand	voet	3.12	N	0
alcohol	cocktail	5.68	N	0
decimeter	centimeter	3.23	N	0
molecuul	atoom	4.95	N	0
lens	camera	3.1	N	0
oog	traan	4.61	N	0
god	duivel	2.14	N	0
lus	riem	2.38	N	0
rat	muis	4.75	N	0
auto	taxi	5.4	N	0
kat	leeuw	3.33	N	0
maat	omvang	5.5	N	0
werkelijkheid	verbeelding	1.55	N	0
deur	poort	5.54	N	0
blik	aluminium	5.78	N	0
botten	kaak	4.9	N	0
graan	tarwe	6.81	N	0
huis	sleutel	3.55	N	0
bloed	vlees	3.8	N	0
deur	gang	1.98	N	0
god	geest	2.83	N	0
vermogen	competentie	6.64	N	0
bank	stoel	5.38	N	0
hoorn	trommel	1.4	N	0
orgaan	lever	3.86	N	0
kracht	macht	2.93	N	0
zin	woord	2.91	N	0
buik	taille	4.97	N	0
wolk	storm	3.83	N	0
vreugde	trots	3.28	N	0
lawaai	gerammel	4.65	N	0
regen	mist	3.93	N	0
bier	drank	5.67	N	0
man	oom	3.62	N	0
appel	sap	3.06	N	0
intelligentie	logica	4.36	N	0
communicatie	taal	6.35	N	0
nerts	bont	3.36	N	0
bende	menigte	5.1	N	0
oever	kust	5.08	N	0
vogel	kalkoen	4.18	N	0
bed	wieg	6.7	N	0
competentie	vermogen	7.73	N	0
wolk	nevel	5.85	N	0
balk	kooi	0.72	N	0
water	zout	0.87	N	0
gevoel	intuïtie	8.02	N	0
situatie	omstandigheid	7.76	N	0
stijl	mode	6.08	N	0
rand	grens	7.15	N	0
arm	lichaam	3.36	N	0
boot	auto	1.7	N	0
broodje	lunch	3.62	N	0
bruid	prinses	2.25	N	0
heldin	held	8.55	N	0
auto	meter	1.25	N	0
insect	bij	3.37	N	0
kinderbed	wieg	6.15	N	0
dier	persoon	3.52	N	0
marihuana	kruid	4.18	N	0
wang	tong	3.22	N	0
cd	computer	2.05	N	0
bocht	hoek	5.2	N	0
gras	mos	3.94	N	0
school	wet	2.17	N	0
voet	hoofd	1.39	N	0
moeder	beschermer	3.08	N	0
alcohol	whisky	3.48	N	0
mond	tand	3.47	N	0
ontbijt	spek	2.14	N	0
bord	kom	3.87	N	0
vlees	brood	1.41	N	0
lucht	helium	3.18	N	0
lichaam	borst	1.63	N	0
zoon	vader	2.71	N	0
hart	operatie	1.8	N	0
vrouw	secretaresse	1.84	N	0
man	vader	4.31	N	0
strand	eiland	2.72	N	0
verhaal	onderwerp	3.47	N	0
spel	plezier	3.7	N	0
weekend	week	4.25	N	0
koppel	paar	8.56	N	0
vrouw	echtgenote	6.59	N	0
schaap	vee	3.82	N	0
portemonnee	tas	3.52	N	0
dak	kathedraal	2.0	N	0
boon	koffie	5.62	N	0
hout	papier	3.55	N	0
misdaad	fraude	5.45	N	0
pijn	schade	4.4	N	0
minnaar	partner	4.82	N	0
avond	schemering	5.64	N	0
vader	dochter	3.11	N	0
wijn	likeur	3.0	N	0
koe	geit	1.56	N	0
geloof	mening	5.05	N	0
werkelijkheid	illusie	2.98	N	0
rijkdom	armoede	2.56	N	0
strijd	verovering	5.56	N	0
vriend	leraar	1.51	N	0
ziekte	besmetting	6.18	N	0
spel	truc	3.52	N	0
broer	zoon	2.89	N	0
tante	neef	2.33	N	0
arbeider	monteur	4.25	N	0
dokter	orthodontist	2.54	N	0
bij	koningin	2.95	N	0
auto	fiets	3.02	N	0
augustus	maand	3.9	N	0
leger	ploeg	2.8	N	0
wolk	weer	1.94	N	0
arts	dokter	9.28	N	0
ravijn	vallei	6.08	N	0
rivier	vallei	2.58	N	0
zon	lucht	3.28	N	0
doel	pijl	4.02	N	0
chocolade	taart	2.32	N	0
omstandigheid	situatie	7.51	N	0
mening	keuze	3.29	N	0
ritme	melodie	5.65	N	0
darm	zenuw	1.18	N	0
dag	dageraad	4.09	N	0
dokter	professor	4.68	N	0
arm	ader	2.05	N	0
kamer	bad	1.31	N	0
heuvel	cliff	3.55	N	0
botten	enkel	1.93	N	0
appel	snoep	1.69	N	0
leider	manager	7.14	N	0
citroen	thee	1.7	N	0
bij	mier	1.93	N	0
rijst	boon	2.13	N	0
bed	meubels	3.31	N	0
emotie	passie	5.09	N	0
anarchie	chaos	3.65	N	0
